date,site,swe_cm,n_days,collnum,snow_dens,depth_cm
12/28/2004,C1A,2.19,12,30,0.22,10
1/15/2005,C1A,2.04,18,31,0.54,3.8
1/25/2005,C1A,4.61,10,32,0.17,27.1
2/12/2005,C1A,4.39,18,33,0.12,36.6
3/5/2005,C1A,13.82,21,34,0.29,47.7
3/15/2005,C1A,14.91,10,35,0.33,45.2
12/28/2004,C3A,2.19,12,30,0.17,12.9
1/15/2005,C3A,3.57,18,31,0.31,11.5
1/25/2005,C3A,9.65,10,32,0.26,37.1
2/12/2005,C3A,15.35,18,33,0.27,56.9
3/5/2005,C3A,16.01,21,34,0.27,59.3
3/15/2005,C3A,14.47,10,35,0.21,68.9
12/28/2004,C3C,1.75,12,30,0.14,12.5
1/15/2005,C3C,1.58,18,31,0.25,6.3
1/25/2005,C3C,6.8,10,32,0.22,30.9
2/12/2005,C3C,14.25,18,33,0.33,43.2
3/5/2005,C3C,13.38,21,34,0.27,49.6
3/15/2005,C3C,16.23,10,35,0.4,40.6
12/28/2004,C5C,4.39,12,30,0.2,22
1/15/2005,C5C,4.41,18,31,0.29,15.2
1/25/2005,C5C,7.68,10,32,0.22,34.9
2/12/2005,C5C,10.96,18,33,0.25,43.8
3/5/2005,C5C,12.72,21,34,0.3,42.4
3/15/2005,C5C,18.42,10,35,0.32,57.6
1/5/2005,C6A,,19,30,,
1/30/2005,C6A,,25,32,,
2/12/2005,C6A,,13,33,,
3/5/2005,C6A,13.16,21,34,0.21,62.7
3/16/2005,C6A,15.57,11,35,0.29,53.7
1/5/2005,CT5E,,19,30,,
1/30/2005,CT5E,,25,32,,
2/12/2005,CT5E,,13,33,,
3/5/2005,CT5E,8.11,21,34,0.25,32.4
3/16/2005,CT5E,8.33,11,35,0.31,26.9
12/28/2004,H1C,2.19,13,30,0.17,12.9
1/15/2005,H1C,,18,31,,
1/30/2005,H1C,3.51,15,32,0.17,20.6
2/12/2005,H1C,3.07,13,33,0.11,27.9
3/5/2005,H1C,10.75,21,34,0.26,41.3
3/16/2005,H1C,6.36,11,35,0.16,39.8
12/28/2004,H3C,2.19,13,30,0.22,10
1/15/2005,H3C,,18,31,,
1/30/2005,H3C,4.39,15,32,0.17,25.8
2/12/2005,H3C,8.11,13,33,0.23,35.3
3/5/2005,H3C,14.25,21,34,0.27,52.8
3/16/2005,H3C,14.69,11,35,0.21,70
12/28/2004,HBULK,3.07,13,30,0.16,19.2
1/15/2005,HBULK,,18,31,,
1/30/2005,HBULK,7.02,15,32,0.2,35.1
2/12/2005,HBULK,13.6,13,33,0.24,56.7
3/5/2005,HBULK,18.86,21,34,0.29,65
3/16/2005,HBULK,18.2,11,35,0.36,50.6
12/28/2004,HT1E,1.1,13,30,0.08,13.8
1/15/2005,HT1E,,18,31,,
1/25/2005,HT1E,7.02,10,32,0.18,39
2/12/2005,HT1E,13.16,18,33,0.27,48.7
3/5/2005,HT1E,16.23,21,34,0.27,60.1
3/16/2005,HT1E,22.59,11,35,0.31,72.9
12/28/2004,HT3C,2.85,13,30,0.15,19
1/15/2005,HT3C,,18,31,,
1/30/2005,HT3C,8.33,15,32,0.24,34.7
2/12/2005,HT3C,9.87,13,33,0.3,32.9
3/5/2005,HT3C,16.45,21,34,0.26,63.3
3/16/2005,HT3C,19.3,11,35,0.28,68.9
12/28/2004,PARKB,1.32,11,30,0.07,18.9
1/15/2005,PARKB,,18,31,,
1/25/2005,PARKB,2.85,10,32,0.09,31.7
2/12/2005,PARKB,9.87,18,33,0.24,41.1
3/5/2005,PARKB,8.55,21,34,0.32,26.7
3/16/2005,PARKB,11.62,11,35,0.28,41.5
